"timestamp","latitude","longitude","accel_mean","accel_variance","accel_stats_x_p1","accel_stats_x_p10","accel_stats_x_p90","accel_stats_x_p99","accel_stats_y_p1","accel_stats_y_p10","accel_stats_y_p90","accel_stats_y_p99","accel_stats_z_p1","accel_stats_z_p10","accel_stats_z_p90","accel_stats_z_p99"
"2025-06-06 16:30:37","33.780816","-84.386497","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:30:34","33.780812","-84.38649","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:30:31","33.780804","-84.386501","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:30:28","33.780775","-84.386529","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:29:01","33.780849","-84.38663","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:28:58","33.780875","-84.386622","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:28:55","33.780859","-84.386628","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:28:52","33.78085","-84.386645","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:28:49","33.780886","-84.386639","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:28:46","33.7809","-84.386649","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:28:43","33.780895","-84.386669","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
"2025-06-06 16:28:40","33.780919","-84.386681","9.38","0.253","-1.532","-0.613","1.532","2.758","1.226","2.145","3.218","3.677","7.815","8.274","9.653","10.726"
